"country_id","country_name","native_name","full_country_name","region","sub_region","capital","population","area"
"AFG","Afghanistan","افغانستان","Islamic Republic of Afghanistan","Asia","Southern Asia","Kabul",26023100,652230
"ALB","Albania","Shqipëria","Republic of Albania","Europe","Southern Europe","Tirana",2893005,28748
"DZA","Algeria","الجزائر","People's Democratic Republic of Algeria","Africa","Northern Africa","Algiers",39500000,2381741
"ASM","American Samoa","American Samoa","Territory of American Samoa","Oceania","Polynesia","Pago Pago",55519,199
"AND","Andorra","Andorra","Principality of Andorra","Europe","Southern Europe","Andorra la Vella",76949,468
"AGO","Angola","Angola","Republic of Angola","Africa","Middle Africa","Luanda",24383301,1246700
"AIA","Anguilla","Anguilla","Anguilla","Americas","Caribbean","The Valley",13452,91
"ATA","Antarctica","Antarctica","Antarctica","Antarctica","Antarctica",,135,14000000
"ATG","Antigua and Barbuda","Antigua and Barbuda","Antigua and Barbuda","Americas","Caribbean","Saint John's",86295,442
"ARG","Argentina","Argentina","Argentine Republic","Americas","South America","Buenos Aires",43131966,2780400
"ARM","Armenia","Հայաստան","Republic of Armenia","Asia","Western Asia","Yerevan",3006800,29743
"ABW","Aruba","Aruba","Aruba","Americas","Caribbean","Oranjestad",107394,180
"AUS","Australia","Australia","Commonwealth of Australia","Oceania","Australia and New Zealand","Canberra",23868800,7692024
"AUT","Austria","Österreich","Republic of Austria","Europe","Western Europe","Vienna",8602112,83871
"AZE","Azerbaijan","Azərbaycan","Republic of Azerbaijan","Asia","Western Asia","Baku",9636300,86600
"BHR","Bahrain","‏البحرين","Kingdom of Bahrain","Asia","Western Asia","Manama",1359800,765
"BGD","Bangladesh","Bangladesh","People's Republic of Bangladesh","Asia","Southern Asia","Dhaka",158875000,147570
"BRB","Barbados","Barbados","Barbados","Americas","Caribbean","Bridgetown",285000,430
"BLR","Belarus","Белару́сь","Republic of Belarus","Europe","Eastern Europe","Minsk",9485300,207600
"BEL","Belgium","België","Kingdom of Belgium","Europe","Western Europe","Brussels",11248330,30528
"BLZ","Belize","Belize","Belize","Americas","Central America","Belmopan",368310,22966
"BEN","Benin","Bénin","Republic of Benin","Africa","Western Africa","Porto-Novo",10315244,112622
"BMU","Bermuda","Bermuda","Bermuda","Americas","Northern America","Hamilton",64237,54
"BTN","Bhutan","ʼbrug-yul","Kingdom of Bhutan","Asia","Southern Asia","Thimphu",763920,38394
"BOL","Bolivia","Bolivia","Plurinational State of Bolivia","Americas","South America","Sucre",11410651,1098581
"BIH","Bosnia and Herzegovina","Bosna i Hercegovina","Bosnia and Herzegovina","Europe","Southern Europe","Sarajevo",3791622,51209
"BWA","Botswana","Botswana","Republic of Botswana","Africa","Southern Africa","Gaborone",2070984,582000
"BRA","Brazil","Brasil","Federative Republic of Brazil","Americas","South America","Brasília",204772000,8515767
