"country_id","currency_id"
"AFG","AFN"
"ALB","ALL"
"DZA","DZD"
"ASM","USD"
"AND","EUR"
"AGO","AOA"
"AIA","XCD"
"ATG","XCD"
"ARG","ARS"
"ARM","AMD"
"ABW","AWG"
"AUS","AUD"
"AUT","EUR"
"AZE","AZN"
"BHS","BSD"
"BHR","BHD"
"BGD","BDT"
"BRB","BBD"
"BLR","BYN"
"BEL","EUR"
"BLZ","BZD"
"BEN","XOF"
"BMU","BMD"
"BTN","BTN"
"BTN","INR"
"BOL","BOB"
"BIH","BAM"
"BWA","BWP"
"BRA","BRL"
"IOT","USD"
"VGB","USD"
"BRN","BND"
"BRN","SGD"
"BGR","BGN"
"BFA","XOF"
"BDI","BIF"
"KHM","KHR"
"KHM","USD"
"CMR","XAF"
"CAN","CAD"
"CPV","CVE"
"CYM","KYD"
"CAF","XAF"
"TCD","XAF"
"CHL","CLP"
"CHN","CNY"
"COL","COP"
"COM","KMF"
"COG","XAF"
"COD","CDF"
"COK","NZD"
"CRI","CRC"
"HRV","HRK"
"CUB","CUC"
"CUB","CUP"
"CUW","ANG"
"CYP","EUR"
"CZE","CZK"
"DNK","DKK"
"DJI","DJF"
"DMA","XCD"
"DOM","DOP"
"ECU","USD"
"EGY","EGP"
"SLV","USD"
"GNQ","XAF"
"ERI","ERN"
"EST","EUR"
"ETH","ETB"
"FLK","FKP"
"FRO","DKK"
"FJI","FJD"
"FIN","EUR"
"FRA","EUR"
"GUF","EUR"
"PYF","XPF"
"GAB","XAF"
"GMB","GMD"
"GEO","GEL"
"DEU","EUR"
"GHA","GHS"
"GIB","GIP"
"GRC","EUR"
"GRL","DKK"
"GRD","XCD"
"GLP","EUR"
"GUM","USD"
"GTM","GTQ"
"GGY","GBP"
"GIN","GNF"
"GNB","XOF"
"GUY","GYD"
"HTI","HTG"
"HND","HNL"
"HKG","HKD"
"HUN","HUF"
"ISL","ISK"
"IND","INR"
"IDN","IDR"
"CIV","XOF"
"IRN","IRR"
"IRQ","IQD"
"IRL","EUR"
"IMN","GBP"
"ISR","ILS"
"ITA","EUR"
"JAM","JMD"
"JPN","JPY"
"JEY","GBP"
"JOR","JOD"
"KAZ","KZT"
"KEN","KES"
"KIR","AUD"
"KWT","KWD"
"KGZ","KGS"
"LAO","LAK"
"LVA","EUR"
"LBN","LBP"
"LSO","LSL"
"LSO","ZAR"
"LBR","LRD"
"LBY","LYD"
"LIE","CHF"
"LTU","EUR"
"LUX","EUR"
"MAC","MOP"
"MKD","MKD"
"MDG","MGA"
"MWI","MWK"
"MYS","MYR"
"MDV","MVR"
"MLI","XOF"
"MLT","EUR"
"MHL","USD"
"MTQ","EUR"
"MRT","MRO"
"MUS","MUR"
"MYT","EUR"
"MEX","MXN"
"FSM","USD"
"MDA","MDL"
"MCO","EUR"
"MNG","MNT"
"MNE","EUR"
"MSR","XCD"
"MAR","MAD"
"MOZ","MZN"
"MMR","MMK"
"NAM","NAD"
"NAM","ZAR"
"NRU","AUD"
"NPL","NPR"
"NLD","EUR"
"NCL","XPF"
"NZL","NZD"
"NIC","NIO"
"NER","XOF"
"NGA","NGN"
"PRK","KPW"
"MNP","USD"
"NOR","NOK"
"OMN","OMR"
"PAK","PKR"
"PLW","USD"
"PSE","ILS"
"PSE","JOD"
"PAN","PAB"
"PAN","USD"
"PNG","PGK"
"PRY","PYG"
"PER","PEN"
"PHL","PHP"
"POL","PLN"
"PRT","EUR"
"PRI","USD"
"QAT","QAR"
"KOS","EUR"
"REU","EUR"
"ROU","RON"
"RUS","RUB"
"RWA","RWF"
"BLM","EUR"
"SHN","SHP"
"KNA","XCD"
"LCA","XCD"
"SPM","EUR"
"VCT","XCD"
"WSM","WST"
"SMR","EUR"
"STP","STD"
"SAU","SAR"
"SEN","XOF"
"SRB","RSD"
"SYC","SCR"
"SLE","SLL"
"SGP","SGD"
"SVK","EUR"
"SVN","EUR"
"SLB","SBD"
"SOM","SOS"
"ZAF","ZAR"
"KOR","KRW"
"SSD","SSP"
"ESP","EUR"
"LKA","LKR"
"SDN","SDG"
"SUR","SRD"
"SJM","NOK"
"SWZ","SZL"
"SWE","SEK"
"CHE","CHF"
"SYR","SYP"
"TWN","TWD"
"TJK","TJS"
"TZA","TZS"
"THA","THB"
"TLS","USD"
"TGO","XOF"
"TON","TOP"
"TTO","TTD"
"TUN","TND"
"TUR","TRY"
"TKM","TMT"
"TCA","USD"
"TUV","AUD"
"UGA","UGX"
"UKR","UAH"
"ARE","AED"
"USA","USD"
"URY","UYU"
"UZB","UZS"
"VUT","VUV"
"VEN","VEF"
"VNM","VND"
"WLF","XPF"
"ESH","MAD"
"YEM","YER"
"ZMB","ZMW"
"ZWE","USD"
"ZWE","ZAR"
"ZWE","BWP"
"ZWE","EUR"
"ZWE","GBP"
"ZWE","INR"
"VIR","USD"
"VAT","EUR"
"MAF","EUR"
"MAF","ANG"
"ENG","GBP"
"WAL","GBP"
"SCO","GBP"
"NIR","GBP"
