"language_id","language_name","native_name","language_family"
"aar","Afar","Afaraf","Afro-Asiatic"
"abk","Abkhaz","аҧсуа бызшәа, аҧсшәа","Northwest Caucasian"
"afr","Afrikaans","Afrikaans","Indo-European"
"aka","Akan","Akan","Niger-Congo"
"amh","Amharic","አማርኛ","Afro-Asiatic"
"ara","Arabic","العربية","Afro-Asiatic"
"arg","Aragonese","aragonés","Indo-European"
"asm","Assamese","অসমীয়া","Indo-European"
"ava","Avaric","авар мацӀ, магӀарул мацӀ","Northeast Caucasian"
"aym","Aymara","aymar aru","Aymaran"
"aze","Azerbaijani","azərbaycan dili","Turkic"
"bak","Bashkir","башҡорт теле","Turkic"
"bal","Balochi","بلوچی","Indo-European"
"bam","Bambara","bamanankan","Niger-Congo"
"bel","Belarusian","беларуская мова","Indo-European"
"ben","Bengali","বাংলা","Indo-European"
"bih","Bihari","भोजपुरी","Indo-European"
"bis","Bislama","Bislama","Creole"
"bod","Tibetan","བོད་ཡིག","Sino-Tibetan"
"bos","Bosnian","bosanski jezik","Indo-European"
"bre","Breton","brezhoneg","Indo-European"
"bul","Bulgarian","български език","Indo-European"
"cat","Catalan","català","Indo-European"
"ces","Czech","čeština, český jazyk","Indo-European"
"cha","Chamorro","Chamoru","Austronesian"
"che","Chechen","нохчийн мотт","Northeast Caucasian"
"chv","Chuvash","чӑваш чӗлхи","Turkic"
"cor","Cornish","Kernewek","Indo-European"
"cos","Corsican","corsu, lingua corsa","Indo-European"
"cre","Cree","ᓀᐦᐃᔭᐍᐏᐣ","Algonquian"
"cym","Welsh","Cymraeg","Indo-European"
"dan","Danish","dansk","Indo-European"
"deu","German","Deutsch","Indo-European"
"div","Divehi","Divehi","Indo-European"
"dzo","Dzongkha","རྫོང་ཁ","Sino-Tibetan"
"ell","Greek","ελληνικά","Indo-European"
"eng","English","English","Indo-European"
"est","Estonian","eesti, eesti keel","Uralic"
"eus","Basque","euskara, euskera","Language isolate"
"ewe","Ewe","Eʋegbe","Niger-Congo"
"fao","Faroese","føroyskt","Indo-European"
"fas","Persian","فارسی","Indo-European"
"fij","Fijian","vosa Vakaviti","Austronesian"
"fin","Finnish","suomi, suomen kieli","Uralic"
"fra","French","français, langue française","Indo-European"
"fry","Western Frisian","Frysk","Indo-European"
"ful","Fula","Fulfulde","Niger-Congo"
"gla","Gaelic","Gàidhlig","Indo-European"
"gle","Irish","Gaeilge","Indo-European"
"glg","Galician","galego","Indo-European"
"glv","Manx","Gaelg, Gailck","Indo-European"
"grn","Guaraní","Avañe'ẽ","Tupian"
"guj","Gujarati","ગુજરાતી","Indo-European"
"hat","Haitian","Kreyòl ayisyen","Creole"
"hau","Hausa","هَوُسَ","Afro-Asiatic"
"heb","Hebrew","עברית","Afro-Asiatic"
"her","Herero","Otjiherero","Niger-Congo"
"hin","Hindi","हिन्दी, हिंदी","Indo-European"
"hmo","Hiri Motu","Hiri Motu","Austronesian"
"hrv","Croatian","hrvatski jezik","Indo-European"
"hun","Hungarian","magyar","Uralic"
"hye","Armenian","Հայերեն","Indo-European"
"ibo","Igbo","Asụsụ Igbo","Niger-Congo"
"iii","Nuosu","Nuosuhxop","Sino-Tibetan"
"iku","Inuktitut","ᐃᓄᒃᑎᑐᑦ","Eskimo-Aleut"
"ind","Indonesian","Bahasa Indonesia","Austronesian"
"ipk","Inupiaq","Iñupiaq, Iñupiatun","Eskimo-Aleut"
"isl","Icelandic","Íslenska","Indo-European"
"ita","Italian","italiano","Indo-European"
"jav","Javanese","Javanese","Austronesian"
"jpn","Japanese","日本語 (にほんご)","Japonic"
"kal","Greenlandic","kalaallisut, kalaallit oqaasii","Eskimo-Aleut"
"kan","Kannada","ಕನ್ನಡ","Dravidian"
"kas","Kashmiri","कश्मीरी, كشميري‎","Indo-European"
"kat","Georgian","ქართული","South Caucasian"
"kau","Kanuri","Kanuri","Nilo-Saharan"
"kaz","Kazakh","қазақ тілі","Turkic"
"khm","Khmer","ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ","Austroasiatic"
"kik","Kikuyu","Gĩkũyũ","Niger-Congo"
"kin","Kinyarwanda","Ikinyarwanda","Niger-Congo"
"kir","Kyrgyz","Кыргызча, Кыргыз тили","Turkic"
"kom","Komi","коми кыв","Uralic"
"kon","Kongo","Kikongo","Niger-Congo"
"kor","Korean","한국어, 조선어","Koreanic"
"kua","Kwanyama","Kuanyama","Niger-Congo"
"kur","Kurdish","Kurdî, كوردی‎","Indo-European"
"lao","Lao","ພາສາລາວ","Tai-Kadai"
"lat","Latin","latine, lingua latina","Indo-European"
"lav","Latvian","latviešu valoda","Indo-European"
"lim","Limburgish","Limburgs","Indo-European"
"lin","Lingala","Lingála","Niger-Congo"
"lit","Lithuanian","lietuvių kalba","Indo-European"
"ltz","Luxembourgish","Lëtzebuergesch","Indo-European"
"lub","Luba-Katanga","Tshiluba","Niger-Congo"
"lug","Ganda","Luganda","Niger-Congo"
"mah","Marshallese","Kajin M̧ajeļ","Austronesian"
"mal","Malayalam","മലയാളം","Dravidian"
"mar","Marathi","मराठी","Indo-European"
"mkd","Macedonian","македонски јазик","Indo-European"
"mlg","Malagasy","fiteny malagasy","Austronesian"
"mlt","Maltese","Malti","Afro-Asiatic"
"mon","Mongolian","Монгол хэл","Mongolic"
"mri","Māori","te reo Māori","Austronesian"
"msa","Malay","bahasa Melayu, بهاس ملايو‎","Austronesian"
"mya","Burmese","ဗမာစာ","Sino-Tibetan"
"nau","Nauruan","Dorerin Naoero","Austronesian"
"nav","Navajo","Diné bizaad","Dené-Yeniseian"
"nbl","Southern Ndebele","isiNdebele","Niger-Congo"
"nde","Northern Ndebele","isiNdebele","Niger-Congo"
"ndo","Ndonga","Owambo","Niger-Congo"
"nep","Nepali","नेपाली","Indo-European"
"nld","Dutch","Nederlands, Vlaams","Indo-European"
"nno","Norwegian Nynorsk","Norsk nynorsk","Indo-European"
"nob","Norwegian Bokmål","Norsk bokmål","Indo-European"
"nya","Chichewa","chiCheŵa, chinyanja","Niger-Congo"
"oci","Occitan","occitan, lenga d'òc","Indo-European"
"oji","Ojibwe","ᐊᓂᔑᓈᐯᒧᐎᓐ","Algonquian"
"ori","Oriya","ଓଡ଼ିଆ","Indo-European"
"orm","Oromo","Afaan Oromoo","Afro-Asiatic"
"oss","Ossetian","ирон æвзаг","Indo-European"
"pan","Punjabi","ਪੰਜਾਬੀ","Indo-European"
"pol","Polish","język polski, polszczyzna","Indo-European"
"por","Portuguese","português","Indo-European"
"pus","Pashto","پښتو","Indo-European"
"que","Quechua","Runa Simi, Kichwa","Quechuan"
"roh","Romansh","rumantsch grischun","Indo-European"
"ron","Romanian","Română","Indo-European"
"run","Kirundi","Ikirundi","Niger-Congo"
"rus","Russian","Русский","Indo-European"
"sag","Sango","yângâ tî sängö","Creole"
"san","Sanskrit","संस्कृतम्","Indo-European"
"sin","Sinhalese","සිංහල","Indo-European"
"slk","Slovak","slovenčina, slovenský jazyk","Indo-European"
"slv","Slovene","slovenski jezik, slovenščina","Indo-European"
"sme","Northern Sami","Davvisámegiella","Uralic"
"smo","Samoan","gagana fa'a Samoa","Austronesian"
"sna","Shona","chiShona","Niger-Congo"
"snd","Sindhi","सिन्धी, سنڌي، سندھی‎","Indo-European"
"som","Somali","Soomaaliga, af Soomaali","Afro-Asiatic"
"sot","Sotho","Sesotho","Niger-Congo"
"spa","Spanish","español","Indo-European"
"sqi","Albanian","Shqip","Indo-European"
"srd","Sardinian","sardu","Indo-European"
"srp","Serbian","српски језик","Indo-European"
"ssw","Swati","SiSwati","Niger-Congo"
